BE,AB,DE,ABE,ABCDE,AC,,,,,,,,,,,
BE,ABE,A,ABDE,,,,,,,,,,,,,
BE,ACD,ABCDE,,,,,,,,,,,,,,
BE,AB,DE,ACDE,BE,ABCDE,ABCD,BE,,,,,,,,,
BE,BCDE,AB,AE,BE,BE,BE,,,,,,,,,,
BE,ABCDE,ACDE,ABCD,,,,,,,,,,,,,
BE,ACD,ABE,ABCDE,ABDE,,,,,,,,,,,,
BE,,,,,,,,,,,,,,,,
BE,ABDE,,,,,,,,,,,,,,,
BE,B,E,ABE,ABCE,ABCDE,,,,,,,,,,,
BE,E,B,BE,ABE,AE,BCE,BC,BDE,DE,,,,,,,
ABCDE,BCDE,CDE,BDE,BD,BE,ABE,E,BE,BE,B,BE,AC,CD,AB,BE,BE
BE,BE,AB,AE,BE,,,,,,,,,,,,
BE,BC,DE,,,,,,,,,,,,,,
BE,ABCDE,ABD,,,,,,,,,,,,,,
BE,,,,,,,,,,,,,,,,
BE,ABC,CDE,ADE,ABCDE,BCDE,BDE,BE,E,,,,,,,,
BE,ABE,BCE,BC,BE,ABCDE,CD,B,BE,,,,,,,,
BE,ACD,ABE,AB,AC,ABCDE,,,,,,,,,,,
ABCD,ACDE,BE,ABCDE,,,,,,,,,,,,,
