BE,BCE,CD,ACD,ABCDE,BCDE,,,,,
BE,BDE,BCE,ABE,BCDE,ABDE,ABCE,ABCDE,,,
AB,AC,BC,A,B,BE,BD,CE,,,
BE,ABE,B,E,BCE,ABCDE,,,,,
BE,BCE,BCDE,ABCDE,,,,,,,
BE,BC,CE,BCE,BDE,BD,DE,,,,
BE,ACD,ABE,BCDE,B,E,,,,,
BE,B,E,ABCDE,ACD,,,,,,
BE,BCE,ABCDE,BCDE,BDE,ABE,,,,,
BE,ABC,ABE,BCE,ABCE,ACE,ABDE,,,,
BE,AC,ABCD,ABCDE,ACDE,,,,,,
BE,B,E,ABCDE,ABC,CDE,ABCD,ACDE,,,
BE,B,E,ABCDE,BDE,ABE,AB,AE,,,
BE,B,E,BDE,ABDE,ABCDE,,,,,
BE,AB,AC,ABE,ABCDE,BDE,ACD,BCDE,,,
BE,ABCDE,AB,ABE,AE,BC,BCE,CE,BD,BDE,DE
BE,BCDE,AE,ABC,,,,,,,
BE,BCD,CDE,BDE,BCDE,ABCDE,,,,,
BE,AC,ACD,ABE,,,,,,,
B,C,A,BE,,,,,,,
