BE,BE,BE,,,,,,,,,,,,,,,,,
BE,ACD,ABCDE,ABCD,,,,,,,,,,,,,,,,
BE,BDE,ABCDE,B,E,BE,,,,,,,,,,,,,,
B,E,BE,ACD,AC,AD,,,,,,,,,,,,,,
B,E,BE,ABCD,ABCDE,,,,,,,,,,,,,,,
BE,BC,DE,,,,,,,,,,,,,,,,,
BE,AB,BCE,ABE,BCDE,BE,,,,,,,,,,,,,,
ACD,BE,ABE,BCE,BDE,,,,,,,,,,,,,,,
BE,AB,AE,BC,CE,BCE,BD,DE,BDE,ABCDE,ABCE,ABE,BE,,,,,,,
BE,B,E,A,ABE,AB,AE,C,BC,CE,AC,D,ACD,BD,DE,BDE,BCDE,ABCE,ABCDE,ACDE
BE,B,E,ABE,ACD,,,,,,,,,,,,,,,
BE,AB,CE,BCE,BDE,ABE,ABCDE,,,,,,,,,,,,,
BE,B,E,BE,ABCDE,ACD,,,,,,,,,,,,,,
BE,BCE,BDE,ACE,BCD,BE,ACD,ABC,CDE,BE,BE,,,,,,,,,
BE,B,E,ABE,AB,BCDE,BCD,ACD,ABCDE,AE,CDE,ACD,,,,,,,,
BE,BDE,ABE,BCE,BCDE,ABCE,ABDE,,,,,,,,,,,,,
BE,ABE,AB,AE,ABCDE,BCD,ACDE,BE,BCE,,,,,,,,,,,
BE,BCE,BCDE,ABCDE,B,E,ABC,CDE,ABCD,ACDE,BE,,,,,,,,,
