H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('BCDE', 0.32484016102295993), ('AB', 0.48715607923130466), ('AE', 0.9475065610453188), ('BE', 0.9972299380944728), ('BE', 0.9999923266396057), ('BE', 0.9999999999411195)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('BCDE', 0.03985728314999806), ('AB', 0.1652144565614239), ('AE', 0.8170339482679483), ('BE', 0.9890107397470504), ('BE', 0.9999693072649649), ('BE', 0.9999999997644784)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('ABCDE', 0.2235294117647056), ('ACDE', 0.3535749265426051), ('ABCD', 0.6607263269434539)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('ABCDE', 0.03747534516765288), ('ACDE', 0.2501732501732499), ('ABCD', 0.6349162269739874)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('ABCDE', 0.18910424305919366), ('ACDE', 0.2745247148288975), ('ABCD', 0.42957349533412464)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('ABCDE', 0.036365467915785134), ('ACDE', 0.20782959124927974), ('ABCD', 0.41851241686496315)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('ABCDE', 0.32493249324932516), ('ACDE', 0.4871526495539173), ('ABCD', 0.9475065612892091)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('ABCDE', 0.039858672849729486), ('ACDE', 0.3114642827268134), ('ABCD', 0.944635724718486)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('ABCDE', 0.32046909311779187), ('ACDE', 0.48715116650818796), ('ABCD', 0.947506561289076)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('ABCDE', 0.03979069133353045), ('ACDE', 0.3114636764912907), ('ABCD', 0.9446357247183779)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('ACD', 0.242444593687038), ('ABE', 0.31139056612339394), ('ABCDE', 0.31139056612339366), ('ABDE', 0.31452899451412714)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('ACD', 0.1602308033732799), ('ABE', 0.18778918548939094), ('ABCDE', 0.18778918548939094), ('ABDE', 0.1889260494723825)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('ACD', 0.05102473498233251), ('ABE', 0.24839749393401508), ('ABCDE', 0.3072890999507187), ('ABDE', 0.31430597326297)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('ACD', 0.046051792320449446), ('ABE', 0.16287905772838662), ('ABCDE', 0.1862896873896639), ('ABDE', 0.18884556139534645)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('ACD', 0.32688366773102046), ('ABE', 0.3333299647508512), ('ABCDE', 0.3333333333133807), ('ABDE', 0.3333333333333333)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('ACD', 0.19360939396505472), ('ABE', 0.24641453741352015), ('ABCDE', 0.24998992910896575), ('ABDE', 0.24999999992271954)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('ACD', 0.25815800368850517), ('ABE', 0.3333167727445527), ('ABCDE', 0.33333333331310316), ('ABDE', 0.3333333333333333)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('ACD', 0.16723965571891813), ('ABE', 0.2464073280110515), ('ABCDE', 0.24998992910880657), ('ABDE', 0.2499999999227196)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('ABDE', 0.27204220045214744)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('ABDE', 0.0386302835741038)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('ABDE', 0.2227020357803832)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('ABDE', 0.037452017844174595)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('ABDE', 0.32942702079631137)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('ABDE', 0.039925492592915966)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('ABDE', 0.3248401610229598)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('ABDE', 0.03985728314999806)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('B', 0.28358208955223835), ('E', 0.3877551020408159), ('ABE', 0.7234468937875747), ('ABCE', 0.7461111715435655), ('ABCDE', 0.746111171543566)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('B', 0.08675799086757999), ('E', 0.2818110850897735), ('ABE', 0.43441636582430765), ('ABCE', 0.4424875814463574), ('ABCDE', 0.4424875814463583)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('B', 0.05263157894736876), ('E', 0.055393586005831046), ('ABE', 0.455233291298873), ('ABCE', 0.7229893538526441), ('ABCDE', 0.7448574253690766)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('B', 0.037037037037037285), ('E', 0.052570263579437594), ('ABE', 0.3208888888888884), ('ABCE', 0.434251345362454), ('ABCDE', 0.4420463141041895)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('B', 0.469440832249675), ('E', 0.9473137116646921), ('ABE', 0.9972299377862911), ('ABCE', 0.9999923266396058), ('ABCDE', 0.9999999999411195)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('B', 0.10069735006973494), ('E', 0.6922210713621764), ('ABE', 0.978260869548674), ('ABCE', 0.9999386164139709), ('ABCDE', 0.9999999995289562)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('B', 0.3396048918156208), ('E', 0.9452935160267933), ('ABE', 0.9972299368802396), ('ABCE', 0.9999923266396057), ('ABCDE', 0.9999999999411195)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('B', 0.09306522299561687), ('E', 0.6911417646466222), ('ABE', 0.978260868676748), ('ABCE', 0.9999386164139707), ('ABCDE', 0.9999999995289562)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('E', 0.28358208955223835), ('B', 0.3877551020408159), ('BE', 0.8454332552693203), ('ABE', 0.8929826845462836), ('AE', 0.9392030672326432), ('BCE', 0.9465705963959117), ('BC', 0.9937320329716411), ('BDE', 0.9944216621037283), ('DE', 0.9970379974672376)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('E', 0.08675799086758003), ('B', 0.28181108508977337), ('BE', 0.5120567375886519), ('ABE', 0.5298570876786407), ('AE', 0.7969094922737294), ('BCE', 0.8022963031366399), ('BC', 0.9763847369880035), ('BDE', 0.9770574306074303), ('DE', 0.9932337652283391)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('E', 0.05263157894736876), ('B', 0.055393586005831046), ('BE', 0.5006934812760147), ('ABE', 0.8600626959247869), ('AE', 0.9028563906805145), ('BCE', 0.9445535656043721), ('BC', 0.9915092401682749), ('BDE', 0.9943042618047762), ('DE', 0.9969199786290717)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('E', 0.037037037037037285), ('B', 0.052570263579437594), ('BE', 0.3613613613613611), ('ABE', 0.518090490218296), ('AE', 0.7705875744298244), ('BCE', 0.8008468066539973), ('BC', 0.9742387883409022), ('BDE', 0.976944094281601), ('DE', 0.9931166452288772)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('E', 0.469440832249675), ('B', 0.9473137116646921), ('BE', 0.9972299380081819), ('ABE', 0.9999923266396057), ('AE', 0.9999999999411195), ('BCE', 1.0), ('BC', 1.0), ('BDE', 1.0), ('DE', 1.0)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('E', 0.10069735006973493), ('B', 0.6922210713621766), ('BE', 0.9782608699223527), ('ABE', 0.999938616413971), ('AE', 0.9999999997520825), ('BCE', 1.0), ('BC', 1.0), ('BDE', 1.0), ('DE', 1.0)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('E', 0.3396048918156208), ('B', 0.9452935160267933), ('BE', 0.9972299371021192), ('ABE', 0.9999923266396057), ('AE', 0.9999999999411195), ('BCE', 1.0), ('BC', 1.0), ('BDE', 1.0), ('DE', 1.0)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('E', 0.09306522299561683), ('B', 0.6911417646466221), ('BE', 0.9782608690504232), ('ABE', 0.999938616413971), ('AE', 0.9999999997520826), ('BCE', 1.0), ('BC', 1.0), ('BDE', 1.0), ('DE', 1.0)]"
H.unorderedAnd() non-recursive "[('ABCDE', 0.03225806451612903), ('BCDE', 0.0631229235880399), ('CDE', 0.1085714285714285), ('BDE', 0.22604884157795865), ('BD', 0.4033519553072624), ('BE', 0.8492014361767987), ('ABE', 0.9012081019591024), ('E', 0.9436097575103719), ('BE', 0.9473006644994901), ('BE', 0.9474957227547117), ('B', 0.9944784176224238), ('BE', 0.9944897296719787), ('AC', 0.9944897516841873), ('CD', 0.9944897538357554), ('AB', 0.9970920142850147), ('BE', 0.9970925698063864), ('BE', 0.9970925990443695)]"
H.unorderedAndOr() non-recursive "[('ABCDE', 0.017543859649122782), ('BCDE', 0.023899371069182395), ('CDE', 0.08675799086757978), ('BDE', 0.14948240165631455), ('BD', 0.36354481369587116), ('BE', 0.6951454342758683), ('ABE', 0.7296849366457814), ('E', 0.8775647630014215), ('BE', 0.88108340458935), ('BE', 0.8812693780332805), ('B', 0.9821705305464976), ('BE', 0.9821826910290002), ('AC', 0.9935472063197116), ('CD', 0.9941594358175887), ('AB', 0.9970596983157817), ('BE', 0.9970602538128192), ('BE', 0.9970602830495221)]"
H.orderedAnd() non-recursive "[('ABCDE', 0.02151755379388449), ('BCDE', 0.06003658739397993), ('CDE', 0.09975131251727161), ('BDE', 0.22387962267846298), ('BD', 0.39649690733567794), ('BE', 0.8475776712604892), ('ABE', 0.9011116784280756), ('E', 0.9435040476458119), ('BE', 0.9472950566178564), ('BE', 0.9474954274798315), ('B', 0.9944780923384268), ('BE', 0.9944897125513567), ('AC', 0.9944897345635936), ('CD', 0.9944897367151635), ('AB', 0.9970919970747074), ('BE', 0.9970925689005887), ('BE', 0.9970925989966817)]"
H.orderedAndOr() non-recursive "[('ABCDE', 0.013798111837327615), ('BCDE', 0.023443080719527172), ('CDE', 0.08103254769921434), ('BDE', 0.14853071742567067), ('BD', 0.35796670319920293), ('BE', 0.6940569961707865), ('ABE', 0.7296217227636727), ('E', 0.8774733322205991), ('BE', 0.881078553297806), ('BE', 0.8812691225930136), ('B', 0.9821702132642489), ('BE', 0.982182674329531), ('AC', 0.9935471892315323), ('CD', 0.9941594187083365), ('AB', 0.9970596811065758), ('BE', 0.9970602529070847), ('BE', 0.9970602830018364)]"
H.unorderedAnd() recursive "[('ABCDE', 0.032258064516129024), ('BCDE', 0.06312292358803984), ('CDE', 0.11886730325979585), ('BDE', 0.2369990496488373), ('BD', 0.4725095534373889), ('BE', 0.9473742406596265), ('ABE', 0.9998465552222557), ('E', 0.999999978685274), ('BE', 1.0), ('BE', 1.0), ('B', 1.0), ('BE', 1.0), ('AC', 1.0), ('CD', 1.0), ('AB', 1.0), ('BE', 1.0), ('BE', 1.0)]"
H.unorderedAndOr() recursive "[('ABCDE', 0.017543859649122816), ('BCDE', 0.0238993710691824), ('CDE', 0.09320939839917382), ('BDE', 0.1891770310677235), ('BD', 0.4610371877317328), ('BE', 0.9448945486552636), ('ABE', 0.9998388842754078), ('E', 0.9999999786263936), ('BE', 1.0), ('BE', 1.0), ('B', 1.0), ('BE', 1.0), ('AC', 1.0), ('CD', 1.0), ('AB', 1.0), ('BE', 1.0), ('BE', 1.0)]"
H.orderedAnd() recursive "[('ABCDE', 0.021517553793884613), ('BCDE', 0.06295259510807316), ('CDE', 0.11886721496192842), ('BDE', 0.23699904964883706), ('BD', 0.4725095534373888), ('BE', 0.9473742406596265), ('ABE', 0.9998465552222557), ('E', 0.999999978685274), ('BE', 1.0), ('BE', 1.0), ('B', 1.0), ('BE', 1.0), ('AC', 1.0), ('CD', 1.0), ('AB', 1.0), ('BE', 1.0), ('BE', 1.0)]"
H.orderedAndOr() recursive "[('ABCDE', 0.013798111837327461), ('BCDE', 0.023874913414714705), ('CDE', 0.09320934410604477), ('BDE', 0.1891770310677235), ('BD', 0.46103718773173313), ('BE', 0.9448945486552638), ('ABE', 0.9998388842754078), ('E', 0.9999999786263936), ('BE', 1.0), ('BE', 1.0), ('B', 1.0), ('BE', 1.0), ('AC', 1.0), ('CD', 1.0), ('AB', 1.0), ('BE', 1.0), ('BE', 1.0)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('BE', 0.3249324932493247), ('AB', 0.4706003430531734), ('AE', 0.8511982129677391), ('BE', 0.9017752535231008)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('BE', 0.03985867284972948), ('AB', 0.1631813099231554), ('AE', 0.6503141264589796), ('BE', 0.6806510678454988)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('BE', 0.2569395017793605), ('AB', 0.340211299042713), ('AE', 0.5027098755193089), ('BE', 0.8682159751663436)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('BE', 0.03860549673831664), ('AB', 0.1440391440391448), ('AE', 0.42514786432693014), ('BE', 0.6613559980266915)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('BE', 0.332880368842514), ('AB', 0.4871793554799228), ('AE', 0.947506561679779), ('BE', 0.9972299380944729)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('BE', 0.03999253674777123), ('AB', 0.16521737548582102), ('AE', 0.8170339487790262), ('BE', 0.9890107397470502)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('BE', 0.3281975214125151), ('AB', 0.48717787227159404), ('AE', 0.947506561679646), ('BE', 0.9972299380944728)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('BE', 0.039924098229928796), ('AB', 0.16521720490244132), ('AE', 0.8170339487789295), ('BE', 0.9890107397470504)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('BC', 0.2918350848827804), ('DE', 0.42025611175785754)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('BC', 0.13355530891601927), ('DE', 0.36423981732250016)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('BC', 0.05290927744393995), ('DE', 0.056012412723041145)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('BC', 0.04355169501749339), ('DE', 0.0548873684631695)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('BC', 0.47060034305317344), ('DE', 0.9473404938140101)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('BC', 0.16318130992315563), ('DE', 0.8169101792605356)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('BC', 0.3402112990427029), ('DE', 0.9453201840676367)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('BC', 0.1440391440391453), ('DE', 0.8154074459711834)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('ABCDE', 0.2235294117647056), ('ABD', 0.3098712446351927)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('ABCDE', 0.03747534516765288), ('ABD', 0.18714359771902522)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('ABCDE', 0.18910424305919366), ('ABD', 0.24742974640164497)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('ABCDE', 0.036365467915785134), ('ABD', 0.16239316239316332)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('ABCDE', 0.32493249324932516), ('ABD', 0.48713884849780975)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('ABCDE', 0.039858672849729486), ('ABD', 0.2404963311692442)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('ABCDE', 0.32046909311779187), ('ABD', 0.4871373655361264)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('ABCDE', 0.03979069133353045), ('ABD', 0.2404959697244409)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('ABC', 0.30987124463519267), ('CDE', 0.4931339420519086), ('ADE', 0.5492912629134299), ('ABCDE', 0.5492912629134302), ('BCDE', 0.7375227078511156), ('BDE', 0.8538134037138014), ('BE', 0.9420656400302532), ('E', 0.9444004365940971)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('ABC', 0.18714359771902522), ('CDE', 0.4568098568098572), ('ADE', 0.5459591706779608), ('ABCDE', 0.5459591706779614), ('BCDE', 0.7315281028801741), ('BDE', 0.845794815512405), ('BE', 0.9323324972521516), ('E', 0.9386177249884592)]"
