BE,ACD,ABCDE,ABCD,,,,,,,,,,,,,,,,
BE,BDE,ABCDE,B,E,,,,,,,,,,,,,,,
B,E,BE,ACD,AC,AD,,,,,,,,,,,,,,
B,E,BE,ABCD,ABCDE,,,,,,,,,,,,,,,
BE,BC,DE,,,,,,,,,,,,,,,,,
BE,AB,BCE,ABE,BCDE,,,,,,,,,,,,,,,
ACD,BE,ABE,BCE,BDE,,,,,,,,,,,,,,,
BE,AB,AE,BC,CE,BCE,BD,DE,BDE,ABCDE,ABCE,ABE,,,,,,,,
BE,B,E,A,ABE,AB,AE,C,BC,CE,AC,D,ACD,BD,DE,BDE,BCDE,ABCE,ABCDE,ACDE
BE,B,E,ABE,ACD,,,,,,,,,,,,,,,
BE,AB,CE,BCE,BDE,ABE,ABCDE,,,,,,,,,,,,,
BE,B,E,ABCDE,ACD,,,,,,,,,,,,,,,
BE,BCE,BDE,ACE,BCD,ACD,ABC,CDE,,,,,,,,,,,,
BE,B,E,ABE,AB,BCDE,BCD,ACD,ABCDE,AE,CDE,,,,,,,,,
BE,BDE,ABE,BCE,BCDE,ABCE,ABDE,,,,,,,,,,,,,
BE,ABE,AB,AE,ABCDE,BCD,ACDE,BCE,,,,,,,,,,,,
BE,BCE,BCDE,ABCDE,B,E,ABC,CDE,ABCD,ACDE,,,,,,,,,,
A,B,C,D,E,BE,CD,AB,DE,BDE,BCE,ABE,ABCE,ABDE,ABCDE,ACD,,,,
BE,ABCDE,ACD,,,,,,,,,,,,,,,,,
BE,B,E,BC,AE,,,,,,,,,,,,,,,
