BE,AB,DE,,,,,,,
BE,BED,ABE,,,,,,,
BE,AB,AE,ABCDE,,,,,,
BE,B,E,ABE,BEACD,ED,,,,
BE,EB,BAE,,,,,,,
BE,B,E,AB,CE,ABCD,BCE,BDE,CD,CDE
BE,B,E,ABCE,ABC,,,,,
AE,BE,BEA,,,,,,,
BCE,ABDE,BEC,,,,,,,
AB,CE,BE,,,,,,,
BE,BEA,BEC,BED,BAC,BCD,,,,
BE,ABE,CBE,DBE,,,,,,
BE,BC,EC,,,,,,,
BE,ACD,B,E,,,,,,
BE,BCE,,,,,,,,
