Teacher1 Complex_depth2 non-recursive dependent simplicity_prior "[(('BE',), [0.17055907959959041, 3]), (('AB',), [0.032207587566608242, 9]), (('DE',), [0.076345373258930926, 5]), (('ABE',), [0.018139888633106758, 18]), (('ABCDE',), [0.014912824011037067, 31]), (('AC',), [0.022662261964044004, 12])]"
Teacher1 unorderedAnd non-recursive dependent simplicity_prior "[(('BE',), [0.040748750514006463, 1]), (('AB',), [0.011918597770947182, 24]), (('DE',), [0.01185454215066818, 16]), (('ABE',), [0.20414545569045289, 2]), (('ABCDE',), [0.0012972915681495501, 31]), (('AC',), [0.0012978634142375568, 27])]"
Teacher1 Simple_depth2 non-recursive dependent simplicity_prior "[(('BE',), [0.035682844272099876, 10]), (('AB',), [0.21798651716957734, 9]), (('DE',), [0.14471325315737316, 5]), (('ABE',), [0.054799106456092081, 11]), (('ABCDE',), [0.0091330181602360498, 31]), (('AC',), [0.017663765477724382, 18])]"
Teacher1 Simple_depth3 non-recursive dependent simplicity_prior "[(('BE',), [0.03473326491450434, 10]), (('AB',), [0.21311028447679542, 9]), (('DE',), [0.14047255140529924, 5]), (('ABE',), [0.044427623128946117, 6]), (('ABCDE',), [0.008246698835357209, 31]), (('AC',), [0.019192734262709586, 18])]"
Teacher1 Simple_depth4 non-recursive dependent simplicity_prior "[(('BE',), [0.24085414239794328, 4]), (('AB',), [0.071735157467780281, 9]), (('DE',), [0.14263067123625653, 5]), (('ABE',), [0.055102267951352056, 5]), (('ABCDE',), [0.0082100658605314004, 31]), (('AC',), [0.019327419787737457, 18])]"
Teacher1 Simple_depth5 non-recursive dependent simplicity_prior "[(('BE',), [0.034366212543583741, 10]), (('AB',), [0.14362625391167999, 9]), (('DE',), [0.14315549435900521, 5]), (('ABE',), [0.056907924974856583, 4]), (('ABCDE',), [0.008205165392831339, 31]), (('AC',), [0.019350702027650189, 18])]"
Teacher1 Complex_depth2 recursive independent uniform_prior "[(('BE',), [0.033965076993422542, 3]), (('AB',), [0.2787553082561523, 14]), (('DE',), [0.2787553082561523, 14]), (('ABE',), [0.031114986153105696, 11]), (('ABCDE',), [0.029718543333718563, 31]), (('AC',), [0.2787553082561523, 14])]"
Teacher1 unorderedAnd recursive independent uniform_prior "[(('BE',), [0.1547287893022479, 1]), (('AB',), [0.21245803457158677, 17]), (('DE',), [0.21245803457158677, 17]), (('ABE',), [0.16653126868719809, 2]), (('ABCDE',), [0.02285021131919, 31]), (('AC',), [0.21245803457158677, 17])]"
Teacher1 Simple_depth2 recursive independent uniform_prior "[(('BE',), [0.036548019806344791, 10]), (('AB',), [0.028875470045101964, 11]), (('DE',), [0.02887547004510195, 22]), (('ABE',), [0.11550188018040784, 12]), (('ABCDE',), [0.023561231231495249, 31]), (('AC',), [0.11550188018040784, 12])]"
Teacher1 Simple_depth3 recursive independent uniform_prior "[(('BE',), [0.034741613516739087, 3]), (('AB',), [0.24854460972937581, 14]), (('DE',), [0.031068076216171973, 22]), (('ABE',), [0.093204228648515949, 11]), (('ABCDE',), [0.027221659772903938, 31]), (('AC',), [0.24854460972937581, 14])]"
Teacher1 Simple_depth4 recursive independent uniform_prior "[(('BE',), [0.03410665674436273, 7]), (('AB',), [0.34733073779933221, 12]), (('DE',), [0.34733073779933221, 12]), (('ABE',), [0.031575521618121119, 11]), (('ABCDE',), [0.028115211362523346, 31]), (('AC',), [0.34733073779933221, 12])]"
Teacher1 Simple_depth5 recursive independent uniform_prior "[(('BE',), [0.034015786487891983, 10]), (('AB',), [0.094944086912416764, 14]), (('DE',), [0.12659211588322233, 17]), (('ABE',), [0.094944086912416792, 11]), (('ABCDE',), [0.028258653222180144, 31]), (('AC',), [0.094944086912416764, 14])]"
Teacher1 Complex_depth2 recursive dependent uniform_prior "[(('BE',), [0.033965076993422542, 3]), (('AB',), [0.032274566499380188, 9]), (('DE',), [0.038248835135447468, 7]), (('ABE',), [0.019966743869357297, 25]), (('ABCDE',), [0.079786081258068658, 28]), (('AC',), [0.026825371912498341, 13])]"
Teacher1 unorderedAnd recursive dependent uniform_prior "[(('BE',), [0.1547287893022479, 1]), (('AB',), [0.15095467329118578, 12]), (('DE',), [0.24206439741163269, 5]), (('ABE',), [0.032038271355766507, 18]), (('ABCDE',), [0.32257459344496903, 17]), (('AC',), [0.74193548376416407, 9])]"
Teacher1 Simple_depth2 recursive dependent uniform_prior "[(('BE',), [0.036548019806344791, 10]), (('AB',), [0.17536843702840532, 10]), (('DE',), [0.24543324001926042, 5]), (('ABE',), [0.030961071956287081, 25]), (('ABCDE',), [0.096763300952876968, 24]), (('AC',), [0.25806451605009073, 13])]"
Teacher1 Simple_depth3 recursive dependent uniform_prior "[(('BE',), [0.034741613516739087, 3]), (('AB',), [0.19387708270170051, 10]), (('DE',), [0.24392580009317283, 5]), (('ABE',), [0.030439610733812947, 25]), (('ABCDE',), [0.032252920936889258, 24]), (('AC',), [0.25806451610117076, 13])]"
Teacher1 Simple_depth4 recursive dependent uniform_prior "[(('BE',), [0.03410665674436273, 7]), (('AB',), [0.033633783026156522, 15]), (('DE',), [0.244363794806854, 5]), (('ABE',), [0.03043958922749098, 25]), (('ABCDE',), [0.1290116837475547, 26]), (('AC',), [0.25806451610117076, 13])]"
Teacher1 Simple_depth5 recursive dependent uniform_prior "[(('BE',), [0.034015786487891983, 10]), (('AB',), [0.067659467356339584, 14]), (('DE',), [0.24436238178275185, 5]), (('ABE',), [0.030439584733896463, 25]), (('ABCDE',), [0.16126460468444298, 24]), (('AC',), [0.25806451610117076, 13])]"
Teacher1 Complex_depth2 recursive independent simplicity_prior "[(('BE',), [0.034107991855799019, 10]), (('AB',), [0.27521961322640409, 11]), (('DE',), [0.27521961322640409, 11]), (('ABE',), [0.091346767633557771, 20]), (('ABCDE',), [0.028258382244874383, 31]), (('AC',), [0.27521961322640409, 11])]"
Teacher1 unorderedAnd recursive independent simplicity_prior "[(('BE',), [0.032366182278211045, 1]), (('AB',), [0.032241259402666721, 25]), (('DE',), [0.032241261010481366, 17]), (('ABE',), [0.032364363443514961, 2]), (('ABCDE',), [0.032241259401545236, 31]), (('AC',), [0.032241259404077072, 24])]"
Teacher1 Simple_depth2 recursive independent simplicity_prior "[(('BE',), [0.27726341592396642, 3]), (('AB',), [0.21564193888185207, 16]), (('DE',), [0.21564193888185207, 16]), (('ABE',), [0.1540299563441801, 11]), (('ABCDE',), [0.027827208846247738, 31]), (('AC',), [0.21564193888185207, 16])]"
